noun.person | (voter, nsubj)  | noun.cognition | (choice, obj) | opponents generally argued that the ballot couldn't give enough information about tax proposals for the voters to make an intelligent choice 
noun.person | (negro, nsubj)  | noun.possession | (way, obj) | negroes , puerto ricans , and rural newcomers are slowly making their way into the cities 
noun.person | (he, nsubj)  | noun.act | (effort, obj) | when ambassador mikhail menshikov took it over in 1957 from georgi zaroubin , he made a determined effort to change this idea 
noun.person | (he, nsubj)  | noun.event | (decision, obj) | he makes the momentous decision 
noun.person | (president, nsubj)  | noun.event | (decision, obj) | all could help the president make his decision 
noun.person | (he, nsubj)  | noun.act | (appearance, obj) | after he had spent the first three years in new york as associate conductor , at toscanini's invitation , of the nbc orchestra , he made numerous guest appearances throughout the united states and latin america 
noun.person | (he, nsubj)  | noun.communication | (debut, obj) | since 1944 he has also conducted regularly at the san francisco opera , where he made his debut with a memorable performance of verdi's falstaff 
noun.person | (who, nsubj)  | noun.group | (nation, obj) | it is well then that in this hour both of `` national peril '' and of `` national opportunity '' we can take counsel with the men who made the nation 
noun.person | (who, nsubj)  | noun.phenomenon | (fortune, obj) | `` i have just come from viewing a man who had made the fortune of his country , but now is working all night in order to support his family '' , he reflected 
noun.person | (negro, nsubj)  | noun.communication | (debut, obj) | the modern negro has not made a decisive debut into southern fiction 
noun.person | (she, nsubj)  | noun.object | (tent, obj) | for mr taylor's images and reflections she made some diaphanous tents that alternately hide and reveal the performer , and a girl's cape lined with grass 
noun.person | (cunningham, nsubj)  | noun.attribute | (use, obj) | the sequence is determined by chance , and mr cunningham makes use of any one of several chance devices 
noun.person | (they, nsubj)  | noun.attribute | (pretence, obj) | when it comes to this , i shall prefer emigrating to some country where they make no pretence of loving liberty -- to russia , for instance , where despotism can be taken pure , without the base alloy of hypocrisy '' ( his emphasis )
noun.entity | (it, nsubj)  | noun.cognition | (division, obj) | it made substantially the same division of power between the central and state governments , and among the executive , legislative and judicial branches 
noun.act | (sacrifice, nsubj)  | verb.social | (serve, obj) | they differed in the balance they believed essential to the sovereignty of the citizen -- but the supreme sacrifice each made served to maintain a still more fundamental truth : that individual life , liberty and happiness depend on a right balance between the two -- and on the limitation of sovereignty , in all its aspects , which this involves 
noun.location | (independence, nsubj)  | noun.act | (stride, obj) | but it has been during the last two centuries , during the scientific revolution , that our independence from the physical environment has made the most rapid strides 
noun.cognition | (one, nsubj)  | noun.act | (mistake, obj) | yet often fear persists because , even with the most rigid ritual , one is never quite free from the uneasy feeling that one might make some mistake or that in every previous execution one had been unaware of the really decisive act 
noun.person | (you, nsubj)  | noun.cognition | (sense, obj) | it is not a mess you can make sense of '' 
noun.person | (we, nsubj)  | noun.cognition | (sense, obj) | how can we make sense of this division ? ?
noun.person | (they, nsubj)  | noun.artifact | (fetish, obj) | and the life they lead is undisciplined and for the most part unproductive , even though they make a fetish of devoting themselves to some creative pursuit -- writing , painting , music 
noun.time | (blossom, nsubj)  | noun.person | (lady, obj) | hollyhock blossoms that , turned upside down , make pink-petticoated ladies ; ;
noun.food | (hay, nsubj)  | noun.feeling | (wish, obj) | if a child watched its progress he whispered , `` hay , hay , load of hay -- make a wish and turn away '' , and then stared rigidly in the opposite direction until the sound of the horses' feet returned no more 
noun.person | (he, nsubj)  | noun.communication | (claim, obj) | `` he made no claims to belong to the great and mighty of this earth '' 
adj.all | (former, nsubj)  | noun.act | (appearance, obj) | in town after town my companion pointed out the negro school and the white school , and in every instance the former made a better appearance ( it was newer , for one thing ) 
noun.person | (they, nsubj)  | noun.location | (desert, obj) | but i suspect that the old roman was referring to change made under military occupation -- the sort of change which tacitus was talking about when he said , `` they make a desert , and call it peace '' ( `` solitudinem faciunt , pacem appellant '' 
noun.artifact | (guest, nsubj)  | noun.person | (connection, obj) | for the occasion on which everyone already knows everyone else and the host wishes them to meet one or a few honored newcomers , then the `` open house '' system is advantageous because the honored guests are fixed connective points and the drifting guests make and break connections at the door 
noun.cognition | (one, nsubj)  | noun.person | (we, nsubj) | one of the obvious conclusions we can make on the basis of the last election , i suppose , is that we , the majority , were dissatisfied with eisenhower conservatism 
noun.person | (palmer, nsubj)  | noun.cognition | (series, obj) | attorney general palmer made a series of raids that sent more than 4,000 so-called radicals to the jails , in direct violation of their constitutional rights 
noun.entity | (what, obj)  | noun.person | (man, nsubj) | civilization is what man has made of himself 
noun.person | (i, nsubj)  | noun.communication | (judgment, obj) | i am not making a clinical judgment here , for such personal tragedies are real and are commonplace in the analyst's consulting room , but literature makes a different claim upon our sympathies than tragedy in life 
noun.act | (literature, nsubj)  | noun.communication | (claim, obj) | i am not making a clinical judgment here , for such personal tragedies are real and are commonplace in the analyst's consulting room , but literature makes a different claim upon our sympathies than tragedy in life 
noun.act | (externalization, nsubj)  | noun.communication | (difference, obj) | now we can argue that the irresistible fate of oedipus rex was nothing more than the irresistible unconscious longings of oedipus projected outward , but this externalization of unconscious conflict makes all the difference between a story and a clinical case history 
noun.person | (uncle, nsubj)  | noun.act | (gift, obj) | the child grows rich on his winnings and conspires with his uncle to make secret gifts of his money to his mother 
noun.person | (they, nsubj)  | noun.act | (war, obj) | `` it was then i knew that they were making war against man , the individual within ! !
verb.consumption | (require, nsubj)  | noun.group | (machinery, obj) | the axioms required to make the theoretical machinery operate are set out tersely and powerfully , so that all permissible operations within the theory can be traced rigorously back to these axioms , rules , and primitive notions 
noun.person | (she, nsubj)  | noun.communication | (picture, obj) | for rachel , conceded to be the prettiest of the szold girls -- and she did make a pretty picture sitting in the grape-arbor strumming her guitar and singing in her silvery tones -- there was no particular march counterpart ; ;
noun.person | (he, nsubj)  | noun.act | (mistake, obj) | this time he was making no mistake 
noun.group | (cloud, nsubj)  | noun.communication | (statement, obj) | cloud made an interesting statement in parting from his client : `` i wanted to be a lawyer , and mrs wright wanted me to be an avenging angel 
noun.person | (wright, nsubj)  | noun.communication | (statement, obj) | under this kind of pressure , it is not surprising that wright would make sweeping statements to the newspapers 
noun.person | (he, nsubj)  | noun.artifact | (plan, obj) | as he made plans for the new taliesin , wright also got on paper his conception of a cathedral of steel and glass to house a congregation of all faiths , and the idea for a planetarium with a sloping ramp 
noun.person | (lady, nsubj)  | noun.person | (you, nsubj) | a lady , you made clear to me both by precept and example , never raised her voice or slumped in her chair , never failed in social tact ( in heaven , for instance , would not mention st john the baptist's head ) , never pouted or withdrew or scandalized in company , never reminded others of her physical presence by unseemly sound or gesture , never indulged in public scenes or private confidences , never spoke of money save in terms of alleviating suffering , never gossiped or maligned , never stressed but always minimized the hopelessness of anything from sin to death itself 
noun.person | (he, nsubj)  | noun.event | (decision, obj) | carl has been married to paula for fifty-three years , and he has not made a single major decision without careful consideration and thorough discussion with his wife 
noun.person | (partner, nsubj)  | noun.event | (progress, obj) | in recent years america's partners and friends in western europe and japan have made great economic progress 
noun.person | (we, nsubj)  | adv.all | (abroad, obj) | our surplus from foreign business transactions has in recent years fallen substantially short of the expenditures we make abroad to maintain our military establishments overseas , to finance private investment , and to provide assistance to the less developed nations 
noun.location | (america, nsubj)  | noun.act | (contribution, obj) | we note that , first , america has already made great contributions in the past two years to the world's fund of knowledge of astrophysics and space science 
noun.person | (you, nsubj)  | noun.communication | (allegation, obj) | he claimed you made other slanderous allegations '' 
noun.person | (i, nsubj)  | noun.communication | (preparation, obj) | `` the matters to be considered are obviously of a grave character , and i therefore respectfully request that the hearing be postponed for two weeks in order that i might make adequate preparation '' 
noun.artifact | (caravan, nsubj)  | noun.possession | (way, obj) | all day long the caravan slowly made her way through the difficult passages 
noun.person | (chancellor, nsubj)  | noun.communication | (remark, obj) | on december 21 , the day that the irish house of commons petitioned for removal of sir constantine phipps , their tory lord chancellor , molesworth reportedly made this remark on the defense of phipps by convocation : `` they that have turned the world upside down , are come hither also '' 
noun.person | (i, nsubj)  | noun.communication | (check, obj) | but mercer's explanation was simple : `` i made out the check and carried it around a few days unsigned -- in case i lost it '' 
noun.person | (mercer, nsubj)  | adj.all | (another, obj) | when he remembered that he might have not signed the check , mercer made out another for the same amount , instructing the bank to destroy the other -- especially if he had happened to have absent-mindedly signed both of them 
noun.possession | (note, nsubj)  | noun.cognition | (wonder, obj) | the unfinished note , written in pencil upon the back of a used envelope , and addressed to the coroner , makes one wonder about many things : `` god forgive me for everything 
noun.person | (he, nsubj)  | noun.cognition | (one, obj) | i cannot remember dr gregory's reply , if , indeed , he made one 
noun.person | (he, nsubj)  | noun.object | (sound, obj) | he would not make a sound until the president had wakened and left for the office ; ;
noun.person | (president, nsubj)  | noun.person | (official, obj) | so the president would make a hearty breakfast official by inviting government officials to attend 
noun.person | (coolidge, nsubj)  | noun.person | (president, obj) | mama said that if presidents were supposed to be colorful , mr coolidge certainly made a good president 
noun.group | (maker, nsubj)  | noun.person | (mind, obj) | community decision makers must make up their minds whether a claim is acceptable to the larger community in terms of prevailing expectations regarding members of nation states 
noun.cognition | (one, nsubj)  | noun.person | (i, nsubj) | one , a reservation on the point i have just made , is the phenomenon of pseudo-thinking , pseudo-feeling , and pseudo-willing , which fromm discussed in the escape from freedom 
noun.object | (existence, nsubj)  | noun.communication | (difference, obj) | men seem almost universally to want a sense of function , that is , a feeling that their existence makes a difference to someone , living or unborn , close and immediate or generalized 
noun.person | (you, nsubj)  | noun.state | (success, obj) | if within one year you can make a success out of the american , you can practically name your own salary thereafter 
noun.person | (he, nsubj)  | noun.attribute | (use, obj) | the outstanding example was in garibaldi and the thousand , where he made use of unpublished papers of lord john russell and english consular materials to reveal the motives which led the british government to permit garibaldi to cross the straits of messina 
noun.person | (i, nsubj)  | noun.person | (friend, obj) | as the field on which my tent was pitched was a favorite natural playground for the kids of the neighborhood , i had made many friends among them , taking part in their after-school games and trying desperately to translate grimm's fairy tales into an understandable french as we gathered around the fire in front of the tent 
noun.person | (i, nsubj)  | noun.entity | (it, obj) | i've had a trying day and i just can't make it out again '' , i told them 
noun.person | (they, nsubj)  | noun.event | (time, obj) | most of the rebels got away since they could make better time through the stiff brush than their naked pursuers 
noun.person | (i, nsubj)  | noun.possession | (money, obj) | i might not make any money but i'd sure have patients '' 
noun.person | (they, nsubj)  | noun.animal | (test, obj) | they made the tests and came to fred ; ;
noun.person | (mama, nsubj)  | noun.food | (joint, obj) | a few years before his death papa had agreed with mama to make a joint will with her in which it would be provided that in the event of the death of either of them an accounting would be made to their children whereby each child would receive a bequest of $5000 cash 
noun.person | (mind, nsubj)  | noun.communication | (music, obj) | as i have said , words from tennyson remain ever in my memory : `` that mind and soul , according well , may make one music as before '' 
noun.act | (congress, nsubj)  | noun.possession | (restitution, obj) | after complimenting morgan and the riflemen and saying he was praising them to congress , too , the ardent frenchman added he felt that congress should make some financial restitution to the widow and family of morris , but that he knew morgan realized how long such action usually required , if it was done at all 
noun.person | (he, nsubj)  | noun.act | (charge, obj) | nogaret is hardly an impartial witness , and even he did not make his charges against boniface until the latter was dead , but there is some truth in what he said and more in what he did not say 
noun.person | (he, nsubj)  | noun.attribute | (pretense, obj) | and yet he made no pretense about it ; ;
noun.person | (philip, nsubj)  | noun.communication | (alliance, obj) | the defeat and death of adolf of nassau at the hands of albert of habsburg also worked to the disadvantage of the english , for all the efforts to revive the anti-french coalition came to nothing when philip made an alliance with the new king of the romans 
noun.person | (merchant, nsubj)  | noun.person | (companion, obj) | these chatty merchants made amusing and instructive traveling companions , for their business took them to all four corners of the globe , and florentine gossip had already reached a high stage of development as even a cursory glance at the inferno will prove 
noun.entity | (it, nsubj)  | noun.communication | (statement, obj) | i have said before how difficult it is to make any precise statements with regard to the character of the greek and elizabethan public 
noun.artifact | (adam, nsubj)  | noun.attribute | (pretense, obj) | in all fairness it must be admitted that adams made no pretense at being an impartial historian 
noun.entity | (it, nsubj)  | noun.communication | (difference, obj) | it made no difference that most evidence points to an opposite conclusion 
noun.person | (i, nsubj)  | noun.act | (mistake, obj) | while sk did not like dylan thomas , i liked his poems very much , but i made the mistake of telling dylan thomas so , whereupon he said to me , `` i suppose you think you know all about me '' 
noun.person | (he, nsubj)  | noun.communication | (retreat, obj) | before he made that retreat , he telephoned earl blackman in kansas city and asked him to come to europe with him 
noun.entity | (what, nsubj)  | noun.event | (phenomenon, obj) | what makes the current phenomenon unique is that so many science-fiction writers have reversed a trend and turned to writing works critical of the impact of science and technology on human life 
noun.person | (i, nsubj)  | noun.animal | (soldier, obj) | just as i know i would make a bad soldier even though i cannot sincerely call myself a pacifist , so too i would not be either a hangman by profession or , if i could avoid it , even a member of a hanging jury 
noun.communication | (legend, nsubj)  | noun.communication | (impression, obj) | the revolution in jazz that took place around 1949 , the evolution from the `` bebop '' school of dizzy gillespie to the `` cool '' sound of miles davis and lennie tristano , lee konitz , and the whole legend of charlie parker , had made an impression on many academic and literary men 
noun.person | (he, nsubj)  | noun.act | (effort, obj) | rexroth may sometimes achieve an effective juxtaposition , but he rarely makes any effort to capture any jazz `` feeling '' in the text of his poems , relying on his very competent musicians to supply this feeling 
noun.person | (he, nsubj)  | noun.act | (assault, obj) | he had made an assault once with 180 men 
noun.person | (they, nsubj)  | noun.entity | (it, obj) | they made it , killed every last one of the krauts , took the village on schedule 
noun.group | (firm, nsubj)  | noun.communication | (item, obj) | these problems frequently arise where a firm is making items for the government not directly along the lines of its normal civilian business or where the government specifications require operations that the firm did not understand when it undertook the contract 
noun.group | (sba, nsubj)  | noun.artifact | (inventory, obj) | sba can make complete facilities inventories of all small business concerns in labor surplus areas within budgetary and staff limitations 
noun.group | (sba, nsubj)  | noun.communication | (loan, obj) | sba makes loans to individual small business firms , providing them with financing when it is not otherwise available through private lending sources on reasonable terms 
noun.person | (we, nsubj)  | noun.act | (assistance, obj) | second , we can make assistance for particular projects conditional on the consistency of such projects with the program 
noun.act | (pool, nsubj)  | noun.event | (progress, obj) | the motor pool has made exceptional progress in automotive management including establishment of cost billing systems , records keeping , analyses of vehicle use , and effecting economies in vehicle operation 
noun.person | (they, nsubj)  | adj.all | (more, obj) | only four towns indicated that they made any more than a normal effort to list property of this kind 
noun.group | (personnel, nsubj)  | noun.act | (visit, obj) | we received 76 out-of-state visitors interested in investigating rhode island's industrial advantages , and industrial division personnel made 55 out-of-state follow-up visits 
noun.person | (who, nsubj)  | noun.act | (sacrifice, obj) | it is the purpose of armed forces day to give americans an opportunity to honor men of the armed forces , those who have made the supreme sacrifice , those who remain to preserve our security 
noun.artifact | (secretary, nsubj)  | noun.cognition | (report, obj) | the secretary shall make reports to the president and the congress at the beginning of each regular session of the action taken or instituted by him under the provisions of this act and of prospective action during the ensuing year 
noun.artifact | (secretary, nsubj)  | noun.possession | (payment, obj) | subject to the limitations of this act , the secretary shall make stabilization payments to small domestic producers upon presentation of evidence satisfactory to him of their status as such producers and of the sale by them of newly mined ores , or concentrates produced therefrom , as provided in this act 
noun.person | (receiver, nsubj)  | noun.possession | (assignment, obj) | if a receiver or trustee for any such partnership or corporation , duly appointed by a court of competent jurisdiction in the united states , makes an assignment of the claim , or any part thereof , with respect to which an award is made , or makes an assignment of such award , or any part thereof , payment shall be made to the assignee , as his interest may appear ; ;
noun.person | (who, nsubj)  | noun.artifact | (application, obj) | any person who makes application for any such payment shall be held to have consented to all the provisions of this title 
noun.body | (corporation, nsubj)  | noun.cognition | (acquisition, obj) | no corporation engaged in commerce shall acquire , directly or indirectly , the whole or any part of the stock or other share capital of another corporation engaged also in commerce , where the effect of such acquisition may be to substantially lessen competition between the corporation whose stock is so acquired and the corporation making the acquisition , or to restrain such commerce in any section or community , or tend to create a monopoly of any line of commerce 
noun.person | (he, nsubj)  | noun.communication | (statement, obj) | in his answer thereto , he advised the board that he had made no such statement in 1956 , and asserted that his only claim to `` pioneering '' was in 1952 
noun.person | (he, nsubj)  | noun.communication | (claim, obj) | he did receive a resume of it -- the same that was furnished the appeal board -- and he made no claim of its inaccuracy 
noun.group | (commission, nsubj)  | noun.possession | (assignment, obj) | with the existence of these many factors , some of them variable , it obviously has never been and is not now possible for the commission to make assignments of am stations on a case-to-case basis which will insure against any interference in any circumstances 
noun.person | (you, nsubj)  | noun.artifact | (application, obj) | you may apply for such an extension by filing form 2688 , application for extension of time to file , with the district director of internal revenue for your district , or you may make your application in a letter 
noun.person | (you, nsubj)  | noun.communication | (request, obj) | you should make any request for an extension early so that if it is refused , your return may still be on time 
noun.cognition | (problem, nsubj)  | noun.state | (demand, obj) | for , granting that there are great present-day problems to be solved , these problems make great demands ; ;
noun.person | (they, nsubj)  | noun.quantity | (naught, obj) | nevertheless , they made naught of marx's prophecy that capitalism would never pay the `` workers '' -- to use marx's word -- more than a subsistence wage , with the consequence that increased productivity must inevitably find its way into the capitalists' pockets with the result , in turn , that the gap between the rich and the poor would irrevocably widen and the misery of the poor increase 
noun.artifact | (brown, nsubj)  | noun.communication | (entry, obj) | it must have been with some pleasure and relief that on september 12 , 1848 , joseph brown made the momentous entry in his job book , in his characteristically cryptic style , `` lucian sharpe came to work for me this day as an apprentice '' 
noun.communication | (process, nsubj)  | noun.act | (manufacture, obj) | this process made the economical manufacture of gears questionable until some way could be found to permit the repeated re-sharpening of gear tooth cutters without the loss of the precision form 
noun.cognition | (division, nsubj)  | noun.event | (progress, obj) | our patterson moos research division has made further very encouraging progress in development of fuel cells 
noun.person | (one, nsubj)  | noun.communication | (guess, obj) | one cannot make a very satisfactory guess about the micrometeorite flux in space 
noun.person | (she, nsubj)  | noun.person | (mind, obj) | once she has made up her mind , the queen starts out by constructing , in her chosen abode , a small `` floor '' of dried grass or some woolly material 
adj.all | (each, nsubj)  | noun.animal | (cocoon, obj) | each now makes a tough , papery cocoon and pupates 
noun.person | (i, nsubj)  | noun.cognition | (sense, obj) | i cannot make sense out of the figures for post maturity growth ; ;
noun.state | (lack, nsubj)  | noun.communication | (difference, obj) | obviously , very slight changes in p do not change the probabilities much , and a slight lack of independence may not make an appreciable difference 
noun.person | (we, nsubj)  | noun.communication | (remark, obj) | with the above results we can make the following remarks about the graph of f 
noun.group | (country, nsubj)  | noun.act | (stride, obj) | but these countries have made big strides toward developing the necessary human and social overhead capital ; ;
noun.group | (faith, nsubj)  | noun.attribute | (fortitude, obj) | his religious beliefs provide him with plausible explanations for many conditions which cause him great concern , and his religious faith makes possible fortitude , equanimity , and consolation , enabling him to endure colossal misfortune , fear , frustration , uncertainty , suffering , evil , and danger 
noun.person | (we, nsubj)  | adj.all | (best, obj) | but the greater part of semester time was actually centered around the attitudes : `` so we are married -- now how do we make the best of it '' ? ?
noun.person | (principal, nsubj)  | noun.state | (rating, obj) | school principals and guidance workers made ratings of the various neighborhoods and the research team made independent observations of houses and dwelling areas 
noun.group | (team, nsubj)  | noun.communication | (observation, obj) | school principals and guidance workers made ratings of the various neighborhoods and the research team made independent observations of houses and dwelling areas 
noun.state | (lack, nsubj)  | noun.act | (effort, obj) | children scoring high in compulsivity were those who gave evidence of tension or emotionality in situations where there was lack of organization or conformity to standards and expectations , or who made exaggerated efforts to achieve these goals 
noun.person | (compulsive, nsubj)  | noun.act | (score, obj) | it is interesting to note that medium compulsives in the unstructured schools made the lowest achievement scores ( although not significantly lower ) 
noun.person | (who, nsubj)  | noun.act | (mistake, obj) | entirely concerned with efficiency , he was merciless in criticizing people who made mistakes , condemning them to too great an extent 
noun.person | (i, nsubj)  | noun.event | (decision, obj) | on being criticized for his arbitrary behavior -- he answered : `` i have to make decisions 
noun.person | (manager, nsubj)  | noun.act | (error, obj) | eighteen errors were located , and then the director asked each individual to vote whether or not they felt that this manager had made the particular errors 
noun.person | (he, nsubj)  | noun.act | (error, obj) | they were asked to vote `` true '' if they thought they had seen him make the error , `` false '' if they thought he had not ; ;
noun.person | (she, nsubj)  | noun.communication | (speech, obj) | thus in mary wrote an account of the trip first strong stress on mary marks mary as the first in a series of people who wrote accounts of the trip , strong stress on wrote marks the writing as the first of a series of actions of mary's concerned with an account of her trip ( about which she may later have made speeches , for example ) , and strong stress on trip makes the trip the first of a series of subjects about which mary wrote accounts 
noun.entity | (it, nsubj)  | noun.act | (contribution, obj) | as a restatement it makes only a small contribution to knowledge of igbo 
adj.all | (most, nsubj)  | noun.person | (itself, obj) | we expected , in short , that most of the world would make itself over in our image and that it would be relatively simple , from such a position , to deal with the localized aberrations of the soviet union '' 
noun.communication | (bulletin, nsubj)  | noun.communication | (process, obj) | periodic bulletins of the accomplishment in each province made the registration process into a kind of competition among provincial officials 
noun.act | (training, nsubj)  | noun.animal | (worker, obj) | vocational educators do not claim that school training alone makes skilled workers , but it provides the essential groundwork for developing skills 
noun.state | (state, nsubj)  | noun.attribute | (use, obj) | few states make effective use of their existing vocational education programs or funds for the purpose of attracting new industry 
adj.all | (first, nsubj)  | noun.act | (survey, obj) | all the manuals for setting up vocational courses stress the importance of first making a local survey of skill needs , of estimating the growth of local jobs , and of consulting with local employers on the types of courses and their content 
noun.person | (observer, nsubj)  | noun.communication | (graph, obj) | odd-lot index observers then make graphs of the data according to their particular statistical recipe 
noun.person | (they, nsubj)  | noun.cognition | (average, obj) | they might , for example , plot it exactly as is , or they might make ten day moving averages of it , or longer moving averages , or they might simply plot the ratio of odd-lot purchases to odd-lot sales 
noun.time | (majority, nsubj)  | noun.possession | (profit, obj) | try to imagine a market in which only a minority of traders would lose , and the majority would make consistent profits 
noun.person | (author, nsubj)  | noun.communication | (claim, obj) | while there may be several such industries to which the model of this paper is applicable , the authors make particular claim of relevance to the explanation of the course of wages and prices in the steel industry of the united states since world war 2 
noun.person | (he, nsubj)  | noun.entity | (it, obj) | he made it ; ;
noun.cognition | (purpose, nsubj)  | noun.act | (union, obj) | the justice's elaborate examination of the legislative history of the provision in question suggests that congress' purpose was merely to make unions suable 
noun.person | (respondent, nsubj)  | noun.attribute | (recommendation, obj) | is the respondent making a recommendation for his own benefit , for the benefit of his industry , for the benefit of a specific government department or service , for the benefit of the defense program , for the benefit of small business , or for the benefit of the taxpayers ? ?
noun.person | (they, nsubj)  | noun.event | (decision, obj) | do they make class-biased decisions ? ?
noun.person | (educator, nsubj)  | noun.cognition | (choice, obj) | the problem arises , if it does arise , when the educator has to make a choice or a decision within the area of his professional competence , but which bears some relation to the social structure 
verb.contact | (impel, nsubj)  | noun.cognition | (kind, obj) | nevertheless , because the cost section has felt impelled to make some kind of a distribution of total costs , it has apportioned this residue , which it sometimes calls `` burden '' , among the units of carload traffic on a basis ( partly ton , partly ton-mile ) which is concededly quite arbitrary from the standpoint of cost determination 
noun.cognition | (one, nsubj)  | noun.communication | (statement, obj) | let us take a set of circumstances in which i happen to be interested on the legislative side and in which i think every one of us might naturally make such a statement 
noun.event | (accident, nsubj)  | noun.communication | (difference, obj) | indeed , we should say , on the contrary , that the accident of our later discovery made no difference whatever to the badness of the animal's pain , that it would have been every whit as bad whether a chance passer-by happened later to discover the body and feel repugnance or not 
noun.person | (we, nsubj)  | noun.communication | (remark, obj) | if anyone asked us , after we made the remark that the suffering was a bad thing , whether we should think it relevant to what we said to learn that the incident had never occurred and no pain had been suffered at all , we should say that it made all the difference in the world , that what we were asserting to be bad was precisely the suffering we thought had occurred back there , that if this had not occurred , there was nothing left to be bad , and that our assertion was in that case mistaken 
noun.entity | (it, nsubj)  | noun.communication | (difference, obj) | if anyone asked us , after we made the remark that the suffering was a bad thing , whether we should think it relevant to what we said to learn that the incident had never occurred and no pain had been suffered at all , we should say that it made all the difference in the world , that what we were asserting to be bad was precisely the suffering we thought had occurred back there , that if this had not occurred , there was nothing left to be bad , and that our assertion was in that case mistaken 
noun.person | (we, nsubj)  | noun.act | (mistake, obj) | the suggestion that in saying something evil had occurred we were after all making no mistake , because we had never meant anyhow to say anything about the past suffering , seems to me merely frivolous 
noun.person | (we, nsubj)  | noun.entity | (it, obj) | when we come upon the rabbit and make our remark about its suffering being a bad thing , we presumably make it with some feeling ; ;
noun.person | (we, nsubj)  | noun.communication | (remark, obj) | and suppose that the circumstances have now so changed that the feeling with which we made the remark in the first place has faded 
noun.person | (we, nsubj)  | noun.entity | (it, obj) | when we repeat the remark that such suffering was a bad thing , the feeling with which we made it last week may be at or near the vanishing point , but if we were asked whether we meant to say what we did before , we should certainly answer yes 
noun.person | (we, nsubj)  | noun.artifact | (point, obj) | we should say that we made our point with feeling the first time and little or no feeling the second time , but that it was the same point we were making 
noun.cognition | (belief, nsubj)  | noun.cognition | (sense, obj) | but on the theory before us such a belief would not make sense 
noun.person | (they, nsubj)  | noun.cognition | (investigation, obj) | quite naturally , they make the investigation , first , by prohibiting the patient from making any movements at all and then , later , by repeating it and allowing the patient to move in any way he wanted to 
noun.person | (he, nsubj)  | noun.artifact | (collage, obj) | picasso says that he himself had already made his first collage toward the end of 1911 , when he glued a piece of imitation-caning oilcloth to a painting on canvas 
noun.entity | (it, nsubj)  | noun.communication | (difference, obj) | ( it makes no real difference that braque's collage is on paper and eked out in charcoal , while picasso's is on canvas and eked out in oil 
noun.state | (stream, nsubj)  | noun.act | (appearance, obj) | before losing itself in the sands of the 19th century , the grand stream of italian renaissance architectural decoration made a last appearance in the brumidi frescos of the capitol rotunda in washington 
noun.person | (we, nsubj)  | noun.entity | (it, obj) | we made it by doerner's recipe , five parts thoroughly washed cheese curd to one of lime putty ; ;
noun.person | (they, nsubj)  | noun.substance | (adhesive, obj) | ground together they made a strong adhesive , which became waterproof in drying 
noun.person | (they, nsubj)  | noun.event | (entrance, obj) | the same could be said for the song to which they make their entrance in the final scene 
noun.person | (he, nsubj)  | noun.possession | (note, obj) | mrs hardy records that `` at the end of november ( 1881 ) he makes a note of an intention to resume poetry as soon as possible '' ( early life , p 188 ) ; ;
noun.entity | (it, nsubj)  | noun.communication | (statement, obj) | it is competent in the sense that it makes a coherent statement without violating the rules of the sonnet form , but it is entirely undistinguished and entirely unlike hardy 
noun.person | (he, nsubj)  | noun.artifact | (point, obj) | combellack argues further , and here he makes his main point , that once the iliad and the odyssey are thought formulaic poems composed for an audience accustomed to formulaic poetry , homeric critics are deprived of an entire domain they previously found arable 
noun.communication | (statement, nsubj)  | noun.possession | (provision, obj) | certain autocoder statements make provision for more parameters than may be contained in the operand ( columns 21 - 75 ) of a single line on the autocoder coding sheet 
noun.artifact | (objective, nsubj)  | noun.process | (supplies, obj) | the basic objectives in each instance are to make available supplies of food during the intervals between harvesting or slaughter , to minimize losses resulting from the action of microorganisms and insects , and to make it possible to transport foods from the area of harvest or production to areas of consumption 
noun.entity | (it, nsubj)  | noun.act | (assessment, obj) | furthermore , it has made an exact assessment of the removal mechanisms possible 
noun.substance | (foam, nsubj)  | noun.act | (appearance, obj) | since the mid 1950s , when urethane foam first made its appearance in the american market , growth has been little short of fantastic 
noun.cognition | (bubble, nsubj)  | noun.artifact | (barrier, obj) | these air or gas bubbles make highly functional thermal barriers 
noun.attribute | (fabric, nsubj)  | noun.artifact | (load, obj) | place the specimen in the wash wheel with sufficient other similar fabric to make a dry load of af pounds 
noun.person | (he, nsubj)  | noun.animal | (soldier, obj) | this is why he made such a magnificent soldier 
noun.person | (he, nsubj)  | noun.event | (decision, obj) | he made the decision with his eyes open , or so he thought 
noun.object | (wilson, nsubj)  | noun.person | (mind, obj) | wilson made up his mind that he must receive at least $2,500 , but when he mentioned this to the deacons they said nothing 
noun.entity | (it, nsubj)  | noun.object | (sound, obj) | it made no sound 
noun.person | (he, nsubj)  | noun.person | (preacher, obj) | `` he'll make a preacher out of you '' ! !
noun.person | (he, nsubj)  | noun.communication | (will, obj) | he made a will and last testament before we left paterson 
noun.entity | (it, nsubj)  | noun.cognition | (sense, obj) | it made no sense to him 
noun.person | (you, nsubj)  | noun.artifact | (opera, obj) | `` you must make an opera out of this material '' 
noun.person | (he, nsubj)  | noun.time | (piece, obj) | still , just for the ladies , and just for this once , for this one weekend in the country , he would make a little piece out of his melodies 
noun.group | (cluster, nsubj)  | noun.possession | (way, obj) | and about a mile to the west a cluster of at least fifty militia were making their way in our direction 
